Model,RMSE,MAE,R2 Score,Training Time (s),Memory Usage (MB)
Linear Regression,0.3387239709616912,0.16539501641031204,-0.2348015467371467,0.5080633163452148,27.110007286071777
Random Forest,0.09809989737411609,0.018312141860755735,0.8964279894781624,1.6290061473846436,7.4504289627075195
